image_url,original_price,price,price_off_percentages,title
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/j/r/j/-original-imagp7pfqggfaqqm.jpeg?q=70,"₹ 49,425","₹39,990",19% off,"HP 15s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fr2511TU Thin and Light Laptop ₹39,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/e/i/v15-laptop-lenovo-original-imaghvguhkzhedwq.jpeg?q=70,"₹ 69,525","₹36,990",46% off,"Lenovo Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light Laptop ₹36,990 Free delivery Bank Offer"
https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/d/s/h/na-thin-and-light-laptop-lenovo-original-imag3dz5ut6ds7eg.jpeg?q=70,"₹ 78,290","₹50,990",34% off,"Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) IdeaPad 5 15ALC05 Thin and ... ₹50,990 Free delivery Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70,"₹ 35,147","₹31,990",8% off,"HP 15s (2023) Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light L... ₹31,990 Free delivery by Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/7/1/-original-imagpxgrmuazgfce.jpeg?q=70,"₹ 86,990","₹60,160",30% off,"ASUS VivoBook 16X Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home) M1603QA-MB711WS Thin an... ₹60,160 Free delivery Lowest price since launch Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/h/i/-original-imagpxgrhgrsrppn.jpeg?q=70,"₹ 74,990","₹50,990",32% off,"ASUS Vivobook 16 (2023) Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) M1605YA-MB541WS L... ₹50,990 Free delivery by Lowest price since launch Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/4/b/h/-original-imagp7pfa6tscqpx.jpeg?q=70,"₹ 59,237","₹58,990",,"HP 15s (2023) Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15s-fr4001TU Thin and Light ... ₹58,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/kynb6vk0/computer/k/j/a/-original-imagaufne7h4hgbz.jpeg?q=70,"₹ 76,890","₹53,990",29% off,"Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic... ₹53,990 Free delivery Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70,"₹ 1,13,290","₹72,990",35% off,"Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphi... ₹72,990 Free delivery Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/i/n/w/-original-imagqs9vc7ecv4vj.jpeg?q=70,"₹ 38,990","₹27,990",28% off,"ASUS Vivobook Go 15 Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) E510MA-EJ021WS Thin and Ligh... ₹27,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/h/a/-original-imagnqmwbbxzm8tp.jpeg?q=70,"₹ 58,990","₹39,990",32% off,"MSI Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-445IN Thin and Light Laptop ₹39,990 Free delivery by Lowest price since launch Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/0/x/z/15ach6-gaming-laptop-lenovo-original-imaghnqezskfgzas.jpeg?q=70,"₹ 1,20,290","₹84,990",29% off,"Lenovo Legion Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce... ₹84,990 Free delivery Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/u/w/15iah7-gaming-laptop-lenovo-original-imagkwgynhhrynkc.jpeg?q=70,"₹ 99,999","₹79,999",20% off,"Lenovo IdeaPad Gaming 3 Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDI... ₹79,999 Free delivery Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/b/j/7/bravo-15-b5ed-notebook-msi-original-imagz3rya2qqbhjt.jpeg?q=70,"₹ 69,990","₹55,990",20% off,"MSI Bravo 15 Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX650... ₹55,990 Free delivery by Lowest price since launch Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/o/r/-original-imagnc38zedzfnw6.jpeg?q=70,"₹ 45,999","₹33,990",26% off,"Acer Extensa (2023) Core i3 - (8 GB/512 GB SSD/Windows 11 Home) EX215-33 Notebook ₹33,990 Free delivery by Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/l/e/-original-imagp8xz5bfrpzvz.jpeg?q=70,"₹ 75,059","₹60,990",18% off,"HP 15s Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5112TU Thin and Light Laptop ₹60,990 Free delivery by Lowest price since launch No Cost EMI from ₹10,165/month"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/t/d/v/xl30-thin-and-light-laptop-infinix-original-imagzmncdyme776h.jpeg?q=70,"₹ 39,990","₹25,990",35% off,"Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL30 Thin and... ₹25,990 Free delivery by Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/9/z/x/14alc7-thin-and-light-laptop-lenovo-original-imaggujjhgppfkfg.jpeg?q=70,"₹ 1,10,090","₹76,860",30% off,"Lenovo IdeaPad Flex 5 Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig... ₹76,860 Free delivery Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/y/8/16arh7h-gaming-laptop-lenovo-original-imagmg7vafrxd7br.jpeg?q=70,"₹ 2,51,890","₹1,91,990",23% off,"Lenovo Legion 5 Pro Ryzen 7 Octa Core 6800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF... ₹1,91,990 Free delivery Upto  Bank Offer"
